Epoch: [29][1200/2689], lr: 0.00001	Time 5.151 (5.049)	Data 4.822 (4.702)	Loss 1.8876 (1.9816)	Prec@1 50.000 (49.055)	Prec@5 81.250 (77.087)
Epoch: [29][1220/2689], lr: 0.00001	Time 5.479 (5.055)	Data 5.151 (4.709)	Loss 1.9018 (1.9800)	Prec@1 65.625 (49.056)	Prec@5 81.250 (77.088)
Epoch: [29][1240/2689], lr: 0.00001	Time 5.641 (5.063)	Data 5.315 (4.717)	Loss 2.5406 (1.9779)	Prec@1 40.625 (49.106)	Prec@5 62.500 (77.100)
Epoch: [29][1260/2689], lr: 0.00001	Time 5.174 (5.069)	Data 4.846 (4.724)	Loss 2.2667 (1.9782)	Prec@1 28.125 (49.063)	Prec@5 59.375 (77.082)
Epoch: [29][1280/2689], lr: 0.00001	Time 5.485 (5.074)	Data 5.163 (4.728)	Loss 2.5699 (1.9777)	Prec@1 31.250 (49.078)	Prec@5 59.375 (77.078)
Epoch: [29][1300/2689], lr: 0.00001	Time 5.474 (5.085)	Data 5.146 (4.740)	Loss 2.1215 (1.9791)	Prec@1 40.625 (49.044)	Prec@5 71.875 (77.047)
Epoch: [29][1320/2689], lr: 0.00001	Time 5.448 (5.095)	Data 5.122 (4.751)	Loss 1.4906 (1.9789)	Prec@1 59.375 (49.061)	Prec@5 93.750 (77.058)
Epoch: [29][1340/2689], lr: 0.00001	Time 5.499 (5.103)	Data 5.178 (4.759)	Loss 1.8602 (1.9798)	Prec@1 56.250 (49.010)	Prec@5 81.250 (77.051)
Epoch: [29][1360/2689], lr: 0.00001	Time 5.625 (5.112)	Data 5.298 (4.768)	Loss 2.3120 (1.9804)	Prec@1 43.750 (48.978)	Prec@5 65.625 (77.062)
Epoch: [29][1380/2689], lr: 0.00001	Time 5.424 (5.120)	Data 5.095 (4.776)	Loss 2.0142 (1.9814)	Prec@1 50.000 (48.989)	Prec@5 78.125 (77.043)
Epoch: [29][1400/2689], lr: 0.00001	Time 5.339 (5.129)	Data 5.015 (4.785)	Loss 1.6276 (1.9804)	Prec@1 56.250 (49.007)	Prec@5 71.875 (77.023)
Epoch: [29][1420/2689], lr: 0.00001	Time 5.188 (5.138)	Data 4.877 (4.795)	Loss 2.3424 (1.9813)	Prec@1 43.750 (49.015)	Prec@5 71.875 (76.995)
Epoch: [29][1440/2689], lr: 0.00001	Time 5.921 (5.144)	Data 5.589 (4.801)	Loss 1.7960 (1.9797)	Prec@1 59.375 (49.018)	Prec@5 75.000 (77.012)
Epoch: [29][1460/2689], lr: 0.00001	Time 5.312 (5.151)	Data 4.972 (4.809)	Loss 2.3517 (1.9806)	Prec@1 43.750 (49.025)	Prec@5 75.000 (77.004)
Epoch: [29][1480/2689], lr: 0.00001	Time 5.085 (5.157)	Data 4.768 (4.814)	Loss 1.7001 (1.9815)	Prec@1 53.125 (49.015)	Prec@5 84.375 (76.962)
Epoch: [29][1500/2689], lr: 0.00001	Time 5.439 (5.163)	Data 5.112 (4.821)	Loss 1.9969 (1.9805)	Prec@1 50.000 (49.053)	Prec@5 81.250 (76.984)
Epoch: [29][1520/2689], lr: 0.00001	Time 5.388 (5.169)	Data 5.067 (4.827)	Loss 2.2168 (1.9810)	Prec@1 53.125 (49.034)	Prec@5 68.750 (76.983)
Epoch: [29][1540/2689], lr: 0.00001	Time 5.186 (5.178)	Data 4.856 (4.836)	Loss 1.9505 (1.9818)	Prec@1 46.875 (49.031)	Prec@5 71.875 (76.937)
Epoch: [29][1560/2689], lr: 0.00001	Time 5.877 (5.185)	Data 5.556 (4.843)	Loss 1.2893 (1.9814)	Prec@1 68.750 (49.037)	Prec@5 90.625 (76.948)
Epoch: [29][1580/2689], lr: 0.00001	Time 5.190 (5.191)	Data 4.867 (4.850)	Loss 1.9237 (1.9807)	Prec@1 40.625 (49.039)	Prec@5 78.125 (76.973)
Epoch: [29][1600/2689], lr: 0.00001	Time 6.150 (5.199)	Data 5.815 (4.858)	Loss 2.4651 (1.9828)	Prec@1 40.625 (48.999)	Prec@5 68.750 (76.956)
Epoch: [29][1620/2689], lr: 0.00001	Time 5.523 (5.205)	Data 5.198 (4.864)	Loss 1.5588 (1.9838)	Prec@1 62.500 (49.001)	Prec@5 93.750 (76.926)
Epoch: [29][1640/2689], lr: 0.00001	Time 6.022 (5.210)	Data 5.692 (4.869)	Loss 2.0669 (1.9840)	Prec@1 43.750 (48.996)	Prec@5 71.875 (76.901)
Epoch: [29][1660/2689], lr: 0.00001	Time 8.137 (5.219)	Data 7.828 (4.878)	Loss 2.3552 (1.9827)	Prec@1 37.500 (49.005)	Prec@5 78.125 (76.936)
Epoch: [29][1680/2689], lr: 0.00001	Time 5.430 (5.224)	Data 5.099 (4.883)	Loss 1.9465 (1.9839)	Prec@1 50.000 (48.981)	Prec@5 81.250 (76.930)
Epoch: [29][1700/2689], lr: 0.00001	Time 6.370 (5.228)	Data 6.039 (4.887)	Loss 1.9990 (1.9840)	Prec@1 50.000 (49.010)	Prec@5 78.125 (76.925)
Epoch: [29][1720/2689], lr: 0.00001	Time 5.849 (5.233)	Data 5.528 (4.893)	Loss 2.3228 (1.9835)	Prec@1 43.750 (49.023)	Prec@5 71.875 (76.925)
Epoch: [29][1740/2689], lr: 0.00001	Time 5.260 (5.239)	Data 4.932 (4.899)	Loss 2.0303 (1.9838)	Prec@1 37.500 (49.020)	Prec@5 78.125 (76.913)
Epoch: [29][1760/2689], lr: 0.00001	Time 5.521 (5.246)	Data 5.195 (4.906)	Loss 1.5890 (1.9832)	Prec@1 59.375 (49.033)	Prec@5 84.375 (76.932)
Epoch: [29][1780/2689], lr: 0.00001	Time 5.565 (5.251)	Data 5.227 (4.911)	Loss 2.4655 (1.9835)	Prec@1 43.750 (49.012)	Prec@5 65.625 (76.960)
Epoch: [29][1800/2689], lr: 0.00001	Time 6.498 (5.257)	Data 6.161 (4.917)	Loss 1.9729 (1.9835)	Prec@1 53.125 (49.040)	Prec@5 71.875 (76.943)
