Epoch: [1][640/1345], lr: 0.00100	Time 1.812 (1.660)	Data 1.591 (1.438)	Loss 3.9083 (4.3046)	Prec@1 18.750 (10.087)	Prec@5 39.062 (27.533)
Epoch: [1][660/1345], lr: 0.00100	Time 1.577 (1.660)	Data 1.358 (1.437)	Loss 3.9618 (4.3036)	Prec@1 12.500 (10.113)	Prec@5 39.062 (27.584)
Epoch: [1][680/1345], lr: 0.00100	Time 1.655 (1.662)	Data 1.431 (1.439)	Loss 4.1796 (4.3017)	Prec@1 1.562 (10.086)	Prec@5 32.812 (27.636)
Epoch: [1][700/1345], lr: 0.00100	Time 1.613 (1.662)	Data 1.394 (1.439)	Loss 4.2710 (4.3005)	Prec@1 6.250 (10.124)	Prec@5 31.250 (27.713)
Epoch: [1][720/1345], lr: 0.00100	Time 1.480 (1.663)	Data 1.268 (1.440)	Loss 4.2696 (4.2988)	Prec@1 6.250 (10.160)	Prec@5 32.812 (27.750)
Epoch: [1][740/1345], lr: 0.00100	Time 1.680 (1.663)	Data 1.458 (1.440)	Loss 4.1552 (4.2961)	Prec@1 14.062 (10.176)	Prec@5 28.125 (27.796)
Epoch: [1][760/1345], lr: 0.00100	Time 1.488 (1.663)	Data 1.272 (1.440)	Loss 4.3357 (4.2939)	Prec@1 7.812 (10.209)	Prec@5 26.562 (27.883)
Epoch: [1][780/1345], lr: 0.00100	Time 1.913 (1.662)	Data 1.693 (1.439)	Loss 4.1408 (4.2917)	Prec@1 14.062 (10.241)	Prec@5 34.375 (27.937)
Epoch: [1][800/1345], lr: 0.00100	Time 1.580 (1.661)	Data 1.361 (1.439)	Loss 4.1028 (4.2898)	Prec@1 14.062 (10.251)	Prec@5 32.812 (27.988)
Epoch: [1][820/1345], lr: 0.00100	Time 1.807 (1.661)	Data 1.595 (1.438)	Loss 4.1429 (4.2859)	Prec@1 15.625 (10.292)	Prec@5 28.125 (28.056)
